
TIME,N,X Min,X Max,X Avg,Y Min,Y Max,Y Avg, Speed Min, Speed Max, Speed Avg, Fuel Time
313,18,37632,37888,37728,45760,45952,45873,0,0,0,3580
314,24,37440,37888,37712,45696,46016,45848,0,0,0,3579
315,24,37568,37888,37741,45696,46080,45866,0,0,0,3578
316,23,37632,37888,37757,45696,46016,45843,0,105,30,3577
317,23,37568,37824,37709,45696,45952,45837,40,105,68,3576
318,24,9408,65408,35130,27136,62720,43629,53,53,53,3575
319,24,896,37760,25272,24640,65408,42194,0,102,17,3574
320,23,14016,39168,29192,24832,65408,42954,48,102,72,3573
321,23,18816,38336,30984,31808,65408,47220,64,73,67,3572
322,24,14976,44864,31090,30784,65408,46664,54,64,56,3571
323,23,9024,41792,29250,24576,65408,46458,48,86,67,3570
324,24,28672,36736,34720,40896,53824,46162,74,98,90,3569
325,23,35264,35648,35439,45824,46080,45988,80,102,90,3568
326,23,35520,35840,35645,45888,46464,45988,89,102,93,3567
327,24,35456,35904,35762,45888,46144,45989,78,93,84,3566
328,23,17984,63296,34337,24576,65408,44655,23,135,82,3565
329,24,5952,41728,30781,25088,65408,42600,99,123,108,3564
330,23,27520,42240,34181,20480,65408,43692,49,111,75,3563
331,23,27200,51520,35475,27008,63040,46277,40,124,92,3562
332,24,34752,38528,35770,45760,48384,47306,40,136,105,3561
333,23,35136,35968,35497,46592,49152,47596,0,75,53,3560
334,23,34816,35776,35302,46656,48960,47718,70,74,71,3559
335,24,33728,36992,35194,46080,48896,47757,74,91,83,3558
336,23,34496,35520,35021,46784,48640,47877,0,84,47,3557

TIME,N,X Min,X Max,X Avg,Y Min,Y Max,Y Avg, Speed Min, Speed Max, Speed Avg, Fuel Time
209,15,32960,33216,33113,32960,33152,33053,0,0,0,0
210,24,33024,33152,33106,32960,33152,33042,0,0,0,0
211,23,32960,33152,33065,32960,33088,33032,0,0,0,0
212,24,32896,33152,33074,32896,33216,33056,0,0,0,59
213,24,32960,33280,33093,32960,33088,33034,0,0,0,58
214,24,32960,33152,33080,32960,33152,33042,0,0,0,57
215,23,21696,52800,40626,11392,35904,31574,0,0,0,56
216,24,47552,50624,48584,31360,33920,32306,0,0,0,55
217,24,48192,48704,48448,31680,32576,32069,0,0,0,54
218,24,48192,48576,48405,31936,32256,32085,0,0,0,53
219,23,48320,48576,48456,31936,32128,32038,0,0,0,52
220,24,48320,48576,48442,31936,32192,32061,0,0,0,51
221,24,16832,64640,41810,25920,54208,33224,0,0,0,50
222,24,13568,31808,18629,27648,37120,33248,0,0,0,49
223,23,16320,16512,16420,33216,33408,33321,0,0,0,48
224,24,16320,16512,16410,33216,33472,33314,0,0,0,47
225,24,13824,20608,16344,30592,40768,33592,0,0,0,46
226,24,11136,26624,20322,16704,41024,26146,0,0,0,45
227,23,25664,28160,27216,15552,19392,17332,0,0,0,44
228,24,27968,28864,28277,16320,18176,17021,0,0,0,43
229,24,27584,41152,31861,12480,29248,19205,0,0,0,42
230,24,40384,46528,43853,29056,43712,36288,0,0,0,41
231,24,33280,40192,36501,42880,49088,46722,0,0,0,40
232,23,32576,34816,33856,47680,50112,48606,0,0,0,39
233,24,16256,32320,26456,37120,49664,46434,0,0,0,38
234,24,14592,17792,16482,28864,38656,32701,0,0,0,37
235,24,16576,51776,32738,26880,35648,30877,0,0,0,36
236,23,46400,49728,47869,29696,32384,30622,0,0,0,35
237,24,37504,50304,43130,18688,29824,23298,0,0,0,34
238,24,21760,47936,34149,19072,35584,27978,0,0,0,33
239,24,4096,37824,29813,26176,48704,33605,0,0,0,32
240,23,32832,33216,33032,32832,33088,32982,0,0,0,31
241,24,32896,33152,33040,32832,33088,32970,0,0,0,30
